Sr. No.,Emp. Code,Emp. Tags,Employee Name,Employee Number,To Name,Country Code,To Number,Call Type,Duration,Call Date,Call Time,Notes,Unique customer Id,Incoming Calls,Incoming Duration,Outgoing Calls,Outgoing Duration,Missed,Rejected,Connected Calls,Never Attended,Call Status,Purpose of Call,Region,Customer Feedback,Department,Follow-Up Required
1.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Kayla Mccarthy,+244,268.847.6246x683,Incoming,13 mins 54 secs,2023-03-24,07:49 PM,Low Congress discover quickly reduce.,,5.0,25 mins 225 secs,2.0,,1.0,0.0,,0.0,No Answer,Inquiry,North America,Dissatisfied,Sales,Yes
2.0,FB008,,Steve,+918888800004,James Wyatt,,+1-490-331-1066x938,Outgoing,12 mins 50 secs,2023-08-26,07:03 AM,General nor time low turn everybody.,CUST0002,0.0,0 mins 0 secs,3.0,18 mins 57 secs,2.0,,0.0,3.0,Completed,Sales,,Neutral,Support,Yes
3.0,,New York,Rachel,+918888800005,Kathy Clark,+995 34,001-782-760-6277,Outgoing,,2023-03-14,11:13 PM,Same wind guess.,,,60 mins 24 secs,,,1.0,0.0,,,No Answer,Support,Australia,Dissatisfied,Sales,Yes
4.0,FB001,Nagpur,,+918888800001,,+221,988-328-7036x603,Incoming,,2021-01-12,11:14 PM,,,2.0,6 mins 4 secs,,16 mins 60 secs,,0.0,4.0,,Failed,Feedback,North America,Neutral,Sales,Yes
5.0,,Pune,Shubhangi,,Morgan Mejia,+57,950.867.0460x53992,Outgoing,2 mins 43 secs,2021-02-01,02:43 PM,Feeling market think early.,CUST0005,,34 mins 98 secs,4.0,44 mins 24 secs,1.0,0.0,,,No Answer,Sales,Australia,Dissatisfied,Sales,No
6.0,FB015,New York,Rachel,+918888800005,Cheryl Hammond,+376,953-305-1969x03148,Incoming,11 mins 53 secs,2021-11-22,04:45 AM,Significant join institution computer network yes sound.,CUST0006,1.0,,2.0,40 mins 90 secs,1.0,0.0,,3.0,Failed,Follow-up,,Dissatisfied,Sales,Yes
7.0,FB008,,Steve,+918888800004,Carly Morales,+44 28,,Outgoing,,,08:43 PM,Red different economy change six people not.,CUST0007,0.0,,0.0,0 mins 0 secs,2.0,2.0,0.0,0.0,Completed,Follow-up,Asia,Neutral,Support,
8.0,FB002,Mumbai,Ankur Garde,+918888800002,Kimberly Frey,+676,825-906-8980x2315,Incoming,16 mins 36 secs,2021-09-16,01:36 PM,Fire fine blue charge.,,5.0,65 mins 55 secs,0.0,,,1.0,3.0,2.0,Busy,Sales,North America,Neutral,Support,Yes
9.0,FB008,New York,Steve,+918888800004,Theresa Harris,+380,001-391-743-5857x60784,,20 mins 17 secs,2024-06-11,03:46 PM,Change analysis task pick.,CUST0009,3.0,21 mins 15 secs,0.0,0 mins 0 secs,,1.0,0.0,,,Sales,Asia,Satisfied,Support,Yes
10.0,FB002,,Ankur Garde,+918888800002,Shelly Bell,+238,636.351.1051,Incoming,11 mins 11 secs,2023-10-21,02:19 PM,,CUST0010,2.0,10 mins 50 secs,,57 mins 42 secs,1.0,0.0,0.0,5.0,No Answer,Inquiry,,Neutral,Support,Yes
11.0,FB003,Pune,,+918888800003,Kathryn Dickerson,+57,,,5 mins 22 secs,,02:35 PM,,CUST0011,,3 mins 5 secs,2.0,10 mins 88 secs,0.0,1.0,1.0,2.0,Busy,Sales,Europe,Dissatisfied,Sales,
12.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+44 7839,742-374-7301,Outgoing,6 mins 34 secs,2022-06-02,,,CUST0012,,,4.0,72 mins 176 secs,,1.0,1.0,,Busy,Sales,Europe,,Sales,No
13.0,FB003,Pune,,+918888800003,,,530.750.0863x39978,Incoming,19 mins 39 secs,2024-05-12,11:38 PM,,CUST0013,5.0,100 mins 85 secs,,100 mins 110 secs,2.0,0.0,7.0,3.0,,Sales,North America,Dissatisfied,Sales,Yes
14.0,,Mumbai,Ankur Garde,+918888800002,,+975,+1-246-854-0440x6358,Outgoing,4 mins 10 secs,2023-12-12,11:41 AM,,CUST0014,5.0,,3.0,39 mins 159 secs,0.0,2.0,5.0,3.0,Busy,Feedback,,,Support,Yes
15.0,,New York,Rachel,+918888800005,Thomas Stevenson,+94,384.349.1519x28005,,,2024-03-08,04:12 AM,,CUST0015,2.0,16 mins 118 secs,,0 mins 0 secs,2.0,1.0,0.0,,Completed,Follow-up,,Satisfied,Sales,No
16.0,FB003,Pune,Shubhangi,+918888800003,James Johnston,+995,581-934-9435,Outgoing,,2021-04-19,01:03 AM,Least one street agency be.,CUST0016,2.0,34 mins 80 secs,1.0,16 mins 37 secs,,2.0,2.0,1.0,,Sales,Europe,,Sales,
17.0,FB001,,Aniruddha Kalbande,+918888800001,Ashlee Carpenter,+244,,Outgoing,6 mins 26 secs,2020-09-02,08:38 PM,Maintain popular oil never.,CUST0017,,72 mins 88 secs,2.0,10 mins 74 secs,1.0,0.0,2.0,4.0,Failed,Sales,Asia,,,No
18.0,FB002,,,+918888800002,James Johnson,,289-438-1457,Incoming,11 mins 34 secs,2022-07-12,01:43 PM,,CUST0018,0.0,0 mins 0 secs,2.0,4 mins 10 secs,0.0,1.0,1.0,1.0,Failed,,Europe,Dissatisfied,Support,No
19.0,FB008,New York,Steve,+918888800004,Seth Gibson,,451.268.5630,Outgoing,13 mins 58 secs,2022-08-19,12:06 PM,Real chance approach ask run.,,0.0,,3.0,27 mins 84 secs,2.0,2.0,,3.0,Failed,Inquiry,Australia,Neutral,Support,Yes
20.0,,,Shubhangi,+918888800003,Matthew Adams,+262,001-531-356-2763x999,Outgoing,17 mins 50 secs,2023-09-19,09:27 AM,Remember together tax lot truth.,CUST0020,5.0,75 mins 275 secs,,0 mins 0 secs,,,,3.0,Completed,Support,North America,Neutral,Sales,
21.0,FB002,,Ankur Garde,+918888800002,Daniel Miles,+1 721,342.574.0985,Incoming,6 mins 59 secs,2021-04-02,,,CUST0021,0.0,0 mins 0 secs,,8 mins 19 secs,0.0,2.0,1.0,0.0,,,North America,Dissatisfied,Support,No
22.0,FB001,,Aniruddha Kalbande,+918888800001,,,+1-890-597-8889x42152,Outgoing,1 mins 45 secs,2022-03-30,01:47 AM,Western street its from.,CUST0022,3.0,18 mins 72 secs,,3 mins 33 secs,1.0,2.0,0.0,4.0,No Answer,Feedback,Europe,Satisfied,Sales,
23.0,,Nagpur,Aniruddha Kalbande,+918888800001,Tyler Wood,+685,+1-499-631-5972,Outgoing,17 mins 11 secs,2021-12-29,06:41 AM,Strong itself market.,CUST0023,5.0,85 mins 160 secs,2.0,30 mins 88 secs,0.0,,2.0,5.0,Busy,Sales,,,,No
24.0,FB008,New York,Steve,+918888800004,Jennifer White,,4088389708,Incoming,,2023-02-04,04:01 AM,Specific hot side.,CUST0024,0.0,0 mins 0 secs,,60 mins 30 secs,2.0,0.0,,5.0,,Follow-up,Australia,Satisfied,Support,Yes
25.0,,Pune,Shubhangi,+918888800003,,+95,,Outgoing,,,08:15 PM,Station surface huge without else tell seem whom.,CUST0025,1.0,11 mins 45 secs,0.0,0 mins 0 secs,2.0,0.0,1.0,0.0,Busy,,Europe,Satisfied,Sales,Yes
26.0,FB003,Pune,Shubhangi,+918888800003,Catherine Bowman,,+1-737-236-2328x7623,Incoming,17 mins 28 secs,,12:37 AM,International news later team.,,4.0,,2.0,,0.0,0.0,6.0,,Completed,Support,,Satisfied,Sales,No
27.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Mary Cook,+44 7781,001-879-793-1053,Incoming,13 mins 25 secs,2021-05-03,08:34 PM,,CUST0027,,19 mins 21 secs,0.0,,1.0,1.0,1.0,0.0,Busy,Feedback,North America,Satisfied,Sales,
28.0,,New York,Rachel,+918888800005,Nicholas Hooper,+90,275.650.8581x019,Incoming,9 mins 13 secs,2021-07-30,09:12 PM,Majority ago show key form body.,CUST0028,5.0,,,1 mins 38 secs,0.0,,,3.0,Busy,Inquiry,,Dissatisfied,Sales,Yes
29.0,FB002,Mumbai,Ankur Garde,+918888800002,Maria Thompson,,+1-378-509-9369x66649,Incoming,7 mins 32 secs,2021-07-14,12:01 PM,Cover avoid father common Mrs.,,,,2.0,22 mins 34 secs,0.0,,6.0,1.0,Failed,Sales,Africa,,Support,Yes
30.0,FB002,,Ankur Garde,+918888800002,,,738.991.3676,Incoming,,2021-03-11,01:35 AM,Impact take see government activity.,CUST0030,5.0,30 mins 110 secs,5.0,60 mins 5 secs,2.0,0.0,5.0,5.0,Completed,,Africa,Satisfied,Support,
31.0,FB008,,,+918888800004,Lisa Johnston MD,+686,,Outgoing,16 mins 42 secs,,10:03 AM,Worker skin analysis business true but radio.,CUST0031,0.0,0 mins 0 secs,5.0,,0.0,2.0,,4.0,,Support,,Dissatisfied,Support,
